epoch,step,test_Charge_MAE,test_Charge_RMSE,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Charge_MAE,train_Charge_RMSE,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss
0,0,,,,,,,,,,,,0.0,0.0,0.0641057938337326,0.06467923521995544,3.540966131421186e-11,4.7153596999249814e-11,0.0,0.0,0.002494462765753269,0.00465036416426301,0.0020927831064909697
1,1,,,,,,,,,,,,0.0,0.0,0.007237529847770929,0.008868645876646042,3.055902059179161e-11,4.357482430439319e-11,0.0,0.0,0.002867705887183547,0.004968089982867241,4.05605387641117e-05
2,2,,,,,,,,,,,,0.0,0.0,0.04047088697552681,0.04137592762708664,6.111804118358322e-11,9.869589867594897e-11,0.0,0.0,0.0020765522494912148,0.003706578863784671,0.0008566706674173474
3,3,,,,,,,,,,,,0.0,0.0,0.04479274898767471,0.04561598598957062,7.809528024260715e-11,1.0099351216430463e-10,0.0,0.0,0.0020077265799045563,0.0048731304705142975,0.0010415964061394334
4,4,,,,,,,,,,,,0.0,0.0,0.02988300286233425,0.03110470250248909,6.984919587171845e-11,9.710972997956091e-11,0.0,0.0,0.003250798210501671,0.005977933760732412,0.0004855379811488092
5,5,0.0,0.0,0.000213623046875,0.000213623046875,3.3954467709707004e-11,5.4448282688079885e-11,0.0,0.0,0.0021507737692445517,0.003725249320268631,7.166915452216926e-07,,,,,,,,,,,
