epoch,step,test_Charge_MAE,test_Charge_RMSE,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Charge_MAE,train_Charge_RMSE,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss
0,0,,,,,,,,,,,,0.0,0.0,11.69163990020752,11.691664695739746,8.816519958543267e-09,1.252273840179896e-08,0.0,0.0,1.8555200099945068,3.2164008617401123,11.360525131225586
1,1,,,,,,,,,,,,0.0,0.0,11.661872863769531,11.661893844604492,7.140139590688932e-09,9.093320763042811e-09,0.0,0.0,1.6073448657989502,2.7842891216278076,11.305940628051758
2,2,,,,,,,,,,,,0.0,0.0,11.632308006286621,11.632325172424316,6.581346134737487e-09,9.112377519215897e-09,0.0,0.0,1.3713905811309814,2.375771999359131,11.252779960632324
3,3,,,,,,,,,,,,0.0,0.0,11.602801322937012,11.602815628051758,5.650023560122008e-09,7.851147287851745e-09,0.0,0.0,1.144081950187683,1.9859317541122437,11.200542449951172
4,4,,,,,,,,,,,,0.0,0.0,11.57322883605957,11.573240280151367,2.7784456957391512e-09,3.73401132236495e-09,0.0,0.0,0.9223883748054504,1.6119085550308228,11.14880084991455
5,5,0.0,0.0,11.532892227172852,11.532892227172852,4.6566128730773926e-09,6.224319726300109e-09,0.0,0.0,0.9226765036582947,1.5981225967407227,11.108492851257324,,,,,,,,,,,
